sample id,Year,"Station: P1 is onshore, P2 is offshore",depth [m],Flux (mg/m2/day),proportion of sample that is flux material (not filter),Mass (mg) sent for C/N analysis (Isolab@UW) natural (includes GF75 filter in mass),Amount N total  (ug),Amount C total (ug),C:N total,Mass (mg) sent for C/N analysis (Isolab@UW) acidified,Amount N acidified (ug),Amount C acidified (ug),C:N organic,Portion of sample filter extracted for protein (likely 1/4 filter for most samples),Lowry Protein Conc (ug/mL)
1-1_60m_+p,2017,P1,60,88.65132562,0.2476859906,,,,,,,,,,34.93
2-2_50m_ctl,2017,P1,50,,,,,,,,,,,,
2-2_50m_+p,2017,P1,50,190.8767912,0.2221838208,31.4,38.49,397.1659,10.3186775785918,19.8,23.9557,224.7257,9.38088638612105,,36.31
2-2_50m_top,2017,P1,50,,0.194892025,,,,,,,,,,54.79
2-2_320m_netwash,2017,P1,320,,0.3349108033,,,,,,,,,,
3-3_150m_ctl,2017,P1,150,,0.194892025,,,,,,,,,,0
3-3_150m_+p,2017,P1,150,83.15257603,0.2476859906,31.5,29.1405,222.8915,7.64885640260119,25.3,24.1259,164.0805,6.80101053224957,,212.29
3-3_150m_top,2017,P1,150,,0.2351474238,32.2,33.1379,259.9648,7.8449388766337,25.2,27.7126,175.4337,6.33046700778707,,17.12
3-3_150m_abvtop1,2017,P1,150,,0.2829507098,,,,,,,,,,
3-3_150m_abvtop2,2017,P1,150,,0.271568975,,,,,,,,,,
3-3_150m_abvtop3,2017,P1,150,,0.2598200875,,,,,,,,,,
3-3_150m_abvtop4,2017,P1,150,,0.2476859906,,,,,,,,,,
1-5_100m_+p,2017,P1,100,127.9433857,0.271568975,29.3,2.9915,71.9714,24.0586327929133,30,2.9985,77.1038,25.7141237285309,,19.55
1-5_100m_top,2017,P1,100,,0.063445825,,,,,,,,,,54.79
1-5_150m_+p,2017,P1,150,132.0557482,0.2221838208,27.4,2.7275,104.8122,38.4279376718607,23.9,2.3698,88.8127,37.4768756857119,,
1-5_150m_top,2017,P1,150,,0.2476859906,,,,,,,,,,
3-7_90m_ctl,2017,P1,90,,0.2351474238,,,,,,,,,,
3-7_90m_+p,2017,P1,90,103.7328318,0.208773197,17,3.4433,59.7165,17.3428106758052,23.3,3.1131,56.6686,18.2032700523594,,
3-7_90m_top,2017,P1,90,,0.194892025,,,,,,,,,,
3-7_355m_ctl,2017,P1,355,,0.208773197,,,,#DIV/0!,,,,,,62.33
3-7_355m_+p,2017,P1,355,52.10180487,0.2221838208,38.2,73.4874,677.7437,9.22258373544308,25.6,49.3413,418.4212,8.48014138257403,,192.74
3-7_355m_top,2017,P1,355,,0.3349108033,,,,,,,,,,178.08
3-7_355m_netwash,2017,P1,355,,0.2221838208,11.7,18.5208,188.1767,10.1602900522656,31.6,13.2628,167.2245,12.6085366589257,,79.45
2-6_110m_+p,2017,P1,110,109.2859583,0.208773197,25.2,4.7931,82.6589,17.2453944211471,24.2,3.8477,72.3089,18.7927593107571,,36.31
2-6_110m_top,2017,P1,110,,0.208773197,,,,,,,,,,14.38
2-6_132m_ctl,2017,P1,132,,0.208773197,,,,#DIV/0!,,,,#DIV/0!,,38.36
2-6_132m_+p,2017,P1,132,40.74176943,0.208773197,25.6,3.1972,141.4773,44.2503753284124,29.4,3.2244,149.5976,46.395484431212,,58.66
2-6_132m_top,2017,P1,132,,0.2221838208,,,,,,,,,,232.88
2-6_132m_netwash1,2017,P1,132,,0.3046794761,,,,#DIV/0!,,,,#DIV/0!,,144.52
2-6_132m_netwash2,2017,P1,132,,0.2829507098,,,,#DIV/0!,,,,#DIV/0!,,
2-6_132m_netwash3,2017,P1,132,,0.2939822373,18.3,17.1089,157.2463,9.19090648726686,15.6,13.2036,118.5457,8.97828622496895,,
4-4_700m_ctl,2017,P1,700,,0.208773197,29,1.7335,87.2978,50.3592731468128,26,1.4362,71.9624,50.106113354686,,79.45
4-4_700m_+p,2017,P1,700,32.16404374,0.2939822373,30.2,32.2203,307.7909,9.55270124735027,26.1,28.1653,224.1651,7.9589104323405,,47.49
4-4_700m_top,2017,P1,700,,0.2476859906,,,,,,,,,,339.04
4-4_700m_netwash1,2017,P1,700,,0.3046794761,,,,#DIV/0!,,,,#DIV/0!,,
4-4_700m_netwash2,2017,P1,700,,#VALUE!,,,,#DIV/0!,,,,#DIV/0!,,
4-11_265m_ctl,2017,P1,265,,0.2351474237,26.2,1.7629,65.9229,37.39457711725,26.9,1.8685,60.5147,32.3867808402462,,17.81
4-11_265m_topnw1,2017,P1,265,,#VALUE!,,,,#DIV/0!,,,,#DIV/0!,,
4-11_265m_topnw2,2017,P1,265,,#VALUE!,,,,#DIV/0!,,,,#DIV/0!,,
4-11_265m_topnw3,2017,P1,265,,0.2829507098,,,,#DIV/0!,,,,#DIV/0!,,
4-11_265m_topnw4,2017,P1,265,,#VALUE!,,,,#DIV/0!,,,,#DIV/0!,,
4-11_265m_topnw5,2017,P1,265,,0.2351474237,29.7,12.2335,176.0052,14.3871500388278,25.6,11.3498,141.9816,12.5096125041851,,
4-11_265m_topnw6,2017,P1,265,,0.2939822373,,,,#DIV/0!,,,,#DIV/0!,,
1-8_73m_+p,2017,P1,73,68.1893743,0.2351474237,,,,#DIV/0!,,,,#DIV/0!,,
1-8_73m_top,2017,P1,73,,0.2598200875,,,,#DIV/0!,,,,#DIV/0!,,
1-8_120m_ctl,2017,P1,120,,0.2221838208,,,,#DIV/0!,,,,#DIV/0!,,10.96
1-8_120m_+p,2017,P1,120,60.64650195,0.1174777966,37.3,96.6056,509.0335,5.26919246917363,22,54.3155,275.9063,5.0796973239683,,78.21
1-8_120m_top,2017,P1,120,,0.2598200875,,,,,,,,,,400.68
2-9_74m_ctl,2017,P1,74,,0.134129159,25.6,2.1478,101.4033,47.2126361858646,25,1.9417,111.2036,57.2712571458001,,
2-9_74m_+p_top,2017,P1,74,38.13104837,0.194892025,25.9,5.976,118.6981,19.8624665327979,21,6.406,142.7073,22.2771308148611,,
2-9_94m_ctl,2017,P1,94,,0.194892025,,,,#DIV/0!,,,,#DIV/0!,,
2-9_94m_+p,2017,P1,94,17.18357041,0.2351474238,,,,#DIV/0!,,,,#DIV/0!,,
2-9_94m_topnw1,2017,P1,94,,0.2598200875,,,,#DIV/0!,,,,#DIV/0!,,
2-9_94m_topnw3,2017,P1,94,,0.3150573944,,,,#DIV/0!,,,,#DIV/0!,,
2-9_94m_topnw5,2017,P1,94,,0.3046794761,,,,#DIV/0!,,,,#DIV/0!,,
2-9_94m_topnw7,2017,P1,94,,0.2221838208,,,,#DIV/0!,,,,#DIV/0!,,
3-10_68m_ctl,2017,P1,68,,0.2476859906,,,,#DIV/0!,,,,#DIV/0!,,7.53
3-10_68m_+p,2017,P1,68,92.05884388,0.2351474238,26.7,10.4431,149.4997,14.3156438222367,26.1,10.9134,141.4537,12.9614693862591,,39.11
3-10_68m_top,2017,P1,68,,0.2351474238,25.5,6.0947,97.9073,16.0643345857877,25.1,6.5087,103.2737,15.8670241369244,,20.55
3-10_168m_ctl,2017,P1,168,,0.2476859906,22.2,1.8822,51.8283,27.5360216767612,28.7,2.0598,55.7706,27.0757355083018,,0
3-10_168m_+p,2017,P1,168,48.55500417,0.4190993092,33,244.3563,1536.701,6.28877176483684,36.6,274.5581,1637.7995,5.9652201118816,,262.57
3-10_168m_+p_fw,2017,P1,168,,0.194892025,,,,#DIV/0!,,,,#DIV/0!,,
3-10_168m_topnw1,2017,P1,168,,0.3251300798,,,,#DIV/0!,,,,#DIV/0!,,106.16
3-10_168m_topnw3,2017,P1,168,,0.2829507098,,,,#DIV/0!,,,,#DIV/0!,,
3-10_168m_topnw5,2017,P1,168,,0.2221838208,,,,#DIV/0!,,,,#DIV/0!,,
1-12_73m_ctl,2017,P2,73,,0.2476859906,18.5,1.649,64.2925,38.9887810794421,11.1,1.4121,49.1052,34.7745910346293,,40
1-12_73m_+p,2017,P2,73,81.78751095,0.2829507098,30.3,6.2512,150.1627,24.0214198873816,8.51,3.2944,59.8879,18.1786971830986,,0
1-12_148m_ctl,2017,P2,148,,0.2351474238,24.7,1.2044,100.6003,83.5273165061441,15.7,1.462,70.7984,48.4257181942545,,
1-12_148m_+p,2017,P2,148,90.82039063,0.3046794761,24.2,4.4984,116.3244,25.8590609994665,12.35,2.7711,54.7854,19.7702717332467,,
2-14_100m_ctl,2017,P2,100,,0.2476859906,,,,#DIV/0!,,,,#DIV/0!,,42.86
2-14_100m_+p,2017,P2,100,138.4426437,0.3150573944,30.7,9.3902,115.9716,12.3502800792315,14.54,4.2181,44.7671,10.6130959436713,,52.78
2-14_100m_top,2017,P2,100,,0.2829507098,,,,,,,,,,
2-14_150m_ctl,2017,P2,150,,0.2829507098,,,,#DIV/0!,,,,#DIV/0!,,34.29
2-14_150m_+p,2017,P2,150,70.65449111,0.388117939,,,,#DIV/0!,,,,#DIV/0!,,861.11
2-14_150m_top,2017,P2,150,,0.3046794761,,,,#DIV/0!,,,,#DIV/0!,,125.71
2-14_150m_netwash1,2017,P2,150,,0.3046794761,,,,#DIV/0!,,,,#DIV/0!,,
2-14_150m_netwash2,2017,P2,150,,0.3349108033,,,,#DIV/0!,,,,#DIV/0!,,
2-14_150m_netwash3,2017,P2,150,,0.271568975,,,,#DIV/0!,,,,#DIV/0!,,
3-15_120m_ctl,2017,P2,120,,0.271568975,,,,#DIV/0!,,,,#DIV/0!,,31.43
3-15_120m_+p,2017,P2,120,129.1017662,0.2829507098,23.4,10.4133,161.0988,15.470484860707,9.6,8.8344,118.8603,13.4542583537082,,0
3-15_120m_top,2017,P2,120,,0.208773197,,,,,,,,,,
3-15_179m_ctl,2017,P2,179,,0.2829507098,,,,#DIV/0!,,,,#DIV/0!,,
3-15_179m_+p,2017,P2,179,62.81986415,0.3251300798,,,,#DIV/0!,,,,#DIV/0!,,
3-15_179m_top,2017,P2,179,,0.3150573944,,,,#DIV/0!,,,,#DIV/0!,,
3-15_179m_netwash1,2017,P2,179,,0.2829507098,,,,#DIV/0!,,,,#DIV/0!,,
3-15_179m_netwash2,2017,P2,179,,0.3349108033,,,,#DIV/0!,,,,#DIV/0!,,
1-16_113m_ctl,2017,P2,113,,0.194892025,,,,#DIV/0!,,,,#DIV/0!,,40
1-16_113m_+p,2017,P2,113,92.04438506,0.194892025,,,,#DIV/0!,,,,#DIV/0!,,0
1-16_113m_top,2017,P2,113,,0.2598200875,,,,#DIV/0!,,,,#DIV/0!,,28.57
1-16_140m_ctl,2017,P2,140,,0.2351474237,,,,#DIV/0!,,,,#DIV/0!,,45.71
1-16_140m_+p,2017,P2,140,119.9515607,0.208773197,,,,#DIV/0!,,,,#DIV/0!,,52.78
1-16_140m_top,2017,P2,140,,0.2476859906,,,,#DIV/0!,,,,#DIV/0!,,40
2-17_100m_ctl,2017,P2,100,,0.2351474237,,,,#DIV/0!,,,,#DIV/0!,,
2-17_100m_+p,2017,P2,100,111.1657614,0.2351474238,29.8,33.0376,291.1786,8.81355183185219,16.8,20.4075,154.9533,7.59295847115031,,
2-17_100m_top,2017,P2,100,,0.271568975,,,,,,,,,,
2-17_150m_ctl,2017,P2,150,,0.2939822373,,,,#DIV/0!,,,,#DIV/0!,,
2-17_150m_+p,2017,P2,150,56.4248001,0.3251300798,26.8,17.7348,250.6656,14.1341092090128,15.88,8.9554,116.4777,13.0064207070594,,
2-17_150m_top,2017,P2,150,,0.2939822373,,,,,,,,,,
2-17_150m_top1of2,2017,P2,150,,0.3150573944,,,,#DIV/0!,,,,#DIV/0!,,
2-17_150m_top2of2,2017,P2,150,,0.3150573944,,,,#DIV/0!,,,,#DIV/0!,,
2-17_150m_nw1,2017,P2,150,,0.3251300798,32.1,50.8092,473.574,9.32063484565787,21.5,39.5536,324.9837,8.21628625460135,,
2-17_150m_nw2,2017,P2,150,,0.2829507098,,,,#DIV/0!,,,,#DIV/0!,,
3-18_120m_ctl,2017,P2,120,,0.2598200875,,,,#DIV/0!,,,,#DIV/0!,,
3-18_120m_+p,2017,P2,120,139.1207513,0.3046794761,29.1,32.2147,331.5024,10.2904077951991,12.66,16.3866,157.3665,9.60336494452785,,
3-18_120m_top,2017,P2,120,,0.3150573944,,,,,,,,,,
3-18_180m_ctl,2017,P2,180,,0.2939822373,,,,#DIV/0!,,,,#DIV/0!,,22.86
3-18_180m_+p,2017,P2,180,41.10025186,0.2598200875,39.8,105.6375,892.8279,8.45180830670927,8.56,22.1414,158.7265,7.1687652993939,,222.22
3-18_180m_top,2017,P2,180,,0.271568975,39.8,105.6375,892.8279,8.45180830670927,8.56,22.1414,158.7265,7.1687652993939,,62.86
3-18_180m_netwash,2017,P2,180,,#VALUE!,,,,#DIV/0!,,,,#DIV/0!,,
4-13_265m_ctl,2017,P2,265,,0.2221838208,20.5,1.5242,128.2369,84.1339063115077,15.9,1.3744,88.3042,64.2492724097788,,
4-13_265m_top+P,2017,P2,265,10.19766882,0.3713540469,31.3,170.907,1260.6557,7.37626720965203,20.82,111.2722,628.3967,5.64738272452598,0.5,
4-13_265m_nw1,2017,P2,265,,0.3251300798,34.1,62.1958,664.1216,10.6779171583933,13.38,25.8292,240.0414,9.29341210722748,0.25,
4-13_265m_nw2,2017,P2,265,,0.3626228531,,,,#DIV/0!,,,,#DIV/0!,,
4-13_265m_nw3,2017,P2,265,,0.3251300798,,,,#DIV/0!,,,,#DIV/0!,0.25,
4-13_265m_pteropod,2017,P2,265,,#VALUE!,,,,#DIV/0!,,,,#DIV/0!,,
4-13_265m_krill,2017,P2,265,,#VALUE!,,,,#DIV/0!,,,,#DIV/0!,,
4-13_965m_ctl1,2017,P2,965,,0.3444120775,27.5,3.6227,126.8054,35.003008805587,17.46,2.1592,76.2536,35.3156724712857,0.5,
4-13_965m_ctl2,2017,P2,965,,0.2829507098,,,,#DIV/0!,,,,#DIV/0!,,
4-13_965m_top+p1,2017,P2,965,,#VALUE!,,,,,,,,,check notebook 9/14/17,
4-13_965m_top+p2,2017,P2,965,17.82170147,0.3251300798,32.2,43.8293,576.1935,13.1463085196433,19.08,25.0153,239.9391,9.59169388334339,,
4-13_965m_nw1,2017,P2,965,,#VALUE!,,,,#DIV/0!,,,,#DIV/0!,0.25,
4-13_965m_nw2,2017,P2,965,,0.4470945232,,,,#DIV/0!,,,,#DIV/0!,,
4-13_965m_nw3,2017,P2,965,,0.3961690188,,,,#DIV/0!,,,,#DIV/0!,,
4-13_965m_nw4,2017,P2,965,,0.4470945232,,,,#DIV/0!,,,,#DIV/0!,,
4-13_965m_nw5,2017,P2,965,,0.4725154647,,,,#DIV/0!,,,,#DIV/0!,0.25,
1-19_119m_ctl,2017,P2,119,,0.2351474238,,,,#DIV/0!,,,,#DIV/0!,,
1-19_119m_+p,2017,P2,119,79.71774684,0.2351474237,,,,#DIV/0!,,,,#DIV/0!,,
1-19_119m_top,2017,P2,119,,0.2351474238,,,,#DIV/0!,,,,#DIV/0!,,
1-19_159m_+p,2017,P2,159,61.53991313,0.194892025,29.8,15.0112,188.9298,12.5859225111916,11.85,7.3374,76.8978,10.480251860332,,
1-19_159m_top,2017,P2,159,,0.1805150969,,,,,,,,,,
2-20_312m_ctl,2017,P2,312,,0.2598200875,,,,#DIV/0!,,,,#DIV/0!,,
2-20_312m_+p,2017,P2,312,40.90035685,0.2598200875,,,,#DIV/0!,,,,#DIV/0!,,
2-20_312m_top,2017,P2,312,,0.271568975,,,,#DIV/0!,,,,#DIV/0!,,
2-20_312m_netwash1,2017,P2,312,,0.3251300798,,,,#DIV/0!,,,,#DIV/0!,,
2-20_312m_netwash2,2017,P2,312,,0.2939822373,,,,#DIV/0!,,,,#DIV/0!,,
2-20_412m_ctl,2017,P2,412,,0.271568975,,,,#DIV/0!,,,,#DIV/0!,,
2-20_412m_+p,2017,P2,412,16.13711754,0.2221838208,,,,#DIV/0!,,,,#DIV/0!,,
2-20_412m_netwash1,2017,P2,412,,0.3251300798,,,,#DIV/0!,,,,#DIV/0!,,
2-20_412m_netwash2,2017,P2,412,,0.3349108033,,,,#DIV/0!,,,,#DIV/0!,,
2-20_412m_netwash3,2017,P2,412,,0.271568975,,,,#DIV/0!,,,,#DIV/0!,,
3-21_365m_ctl,2017,P2,365,,0.2598200875,,,,#DIV/0!,,,,#DIV/0!,,105.71
3-21_365m_+p,2017,P2,365,36.05092706,0.2221838208,23.5,52.6675,512.0445,9.72221009161247,9.3,24.9375,199.329,7.99314285714286,,19.44
3-21_365m_top,2017,P2,365,,0.2939822373,,,,#DIV/0!,,,,#DIV/0!,,
3-21_365m_netwash1,2017,P2,365,,0.3046794761,,,,#DIV/0!,,,,#DIV/0!,,97.14
3-21_365m_netwash2,2017,P2,365,,0.3251300798,,,,#DIV/0!,,,,#DIV/0!,,
3-21_365m_netwash3,2017,P2,365,,0.2939822373,,,,#DIV/0!,,,,#DIV/0!,,
3-21_452m_ctl,2017,P2,452,,0.2829507098,,,,#DIV/0!,,,,#DIV/0!,,48.57
3-21_452m_+p,2017,P2,452,51.64578176,0.3626228531,32.5,52.2836,636.7048,12.1779066475912,21.43,31.0277,295.3914,9.52024803643196,,0
3-21_452m_top,2017,P2,452,,0.2829507098,23.6,6.44,160.2399,24.8819720496894,19.49,4.9661,81.0161,16.3138277521596,,
3-21_452m_netwash1,2017,P2,452,,0.2829507098,,,,#DIV/0!,,,,#DIV/0!,,222.86
3-21_452m_netwash2,2017,P2,452,,0.3251300798,,,,#DIV/0!,,,,#DIV/0!,,
4-22_59m_ctl,2017,P2,59,,0.2829507098,,,,#DIV/0!,,,,#DIV/0!,,
4-22_59m_+p,2017,P2,59,64.57753223,0.3150573944,,,,#DIV/0!,,,,#DIV/0!,,
4-22_69m_ctl,2017,P2,69,,0.2829507098,,,,#DIV/0!,,,,#DIV/0!,,
4-22_69m_+p,2017,P2,69,133.1442223,0.3349108033,28,69.2205,576.3571,8.32639319276804,21.09,48.9755,359.8549,7.34765137670876,,
4-22_69m_top,2017,P2,69,,0.271568975,,,,,,,,,,
